aseqno	info
A121810	a(n)=a(n-1)*a(n-2)+a(n-2)*a(n-3)+a(n-1)*a(n-3)
A121812	a(n)=a(n-4)*a(n-3)+a(n-4)*a(n-2)+a(n-3)*a(n-2)+a(n-4)*a(n-1)+a(n-3)*a(n-1)+a(n-2)*a(n-1)
A121881	a(n)=(4*a(n-1)a(n-3)+a(n-2)^2)/a(n-4)
A121897	a(n)=4*a(n-1)*a(n-2)*a(n-3)*a(n-4)-a(n-5)
A121910	a(n)=3*a(n-1)*a(n-2)*a(n-3)*a(n-4)-a(n-5)
A121953	a(n)=(n-2)*a(n-2)+a(n-3)
A121968	a(n)=2*a(n-1)-a(n-2)+n+1
A122025	a(n)=(3*a(n-1)a(n-4)-a(n-2)a(n-3))/a(n-5)
A122031	a(n)=a(n-1)+(n-1)*a(n-2)
A122033	a(n)=a(n-1)-(n-2)*a(n-2)
A122038	a(n)=1*3^(3*n)+2*3^(2*n)-3*3^(1*n)
A122044	a(n)=a(n-2)-(n-3)*a(n-3)
A122590	a(n)=2*a(n-1)-a(n-2)-(a(n-1)^2+a(n-2)^2)
A122591	a(n)=2*a(n-1)-a(n-2)-(a(n-1)^2+a(n-2)^2)
A122592	a(n)=a(n-1)-2*a(n-1)+a(n-3)+(a(n-2)-a(n-1))^2+(a(n-2)-a(n-3))^2
A122593	a(n)=2*a(n-1)-a(n-2)-(a(n-2)-a(n-1))^2+(a(n-2)-a(n-3))^2
A123385	a(n)=(n!)^2/2
A123591	a(n)=((2^n-1)^(2^n)-1)/(2^n)^2
A123642	a(n)=n!-2^n
A123651	a(n)=1+n^2+n^3+n^5+n^7+n^11+n^13+n^17
A123652	a(n)=1+n^2+n^3+n^5+n^7+n^11+n^13+n^17+n^19+n^23+n^29+n^31+n^37+n^41
A123659	a(n)=1+n^4+n^6+n^9+n^10+n^14
A125598	a(n)=((n+1)^(n-1)-1)/n
A126130	a(n)=(n+1)^n-n!
A126423	a(n)=n^4-n-1
A126804	a(n)=(2n)!/(n-1)!
A126965	a(n)=(2*n)!*(2*n-1)/(2^n*n!)
A127223	a(n)=(n^2)!/n!
A127224	a(n)=(n^3)!/n!
A127225	a(n)=(n^4)!/n!
A127233	a(n)=n!*(n*(n+1)/2)!
A127488	a(n)=(n^2)!/(2*(n!))
A127547	a(n)=13n+4
A127691	a(n)=(2*n+1)^n-(2*n-1)^n-(2*n)^n
A127696	a(n)=(2*n)^n+(2*n+1)^n-(2*n+2)^n
A127850	a(n)=(2^n-1)*2^(n(n-1)/2)/(2^(n-1))
A127986	a(n)=n!+2^n-1
A128406	a(n)=(n+1)*2^(n*(n+1))
A128467	a(n)=30*n+11
A128468	a(n)=30*n+17
A128542	a(n)=((2n)^(2n)-1)/(2n+1)/(2n-1)
A128812	a(n)=(1+2^(1/3))^n
A128889	a(n)=(2^(n^2)-1)/(2^n-1)
A129326	a(n)=(2*n+1)*(n-1)!
A129890	a(n)=(2*n+2)!!-(2*n+1)!!
A129997	a(n)=4*a(n-1)+(n-6)*a(n-2)
A130744	a(n)=n*(n+2)*n!
A131473	a(n)=n^6-n
A131528	a(n)=(n^1+1!)*(n^2+2!)*(n^3+3!)*(n^4+4!)/2!
A131877	a(n)=14n+1
A132911	a(n)=(n+1)(2n)!/2^n
A133471	a(n)=(n^2)*a(n-1)+a(n-2)
A133495	a(n)=(((n^n)^n)/(n^n)/n)-((n^n)/n)-n
A133751	a(n)=2*(2+n)!+2^n
A133752	a(n)=256^n
A133942	a(n)=(-1)^n*n!
A134164	a(n)=8*(6*n^2-37*n+60)*n^(n-7)*(2*n-7)!/(n-4)!
A134366	a(n)=(n!)^(n-1)
A134367	a(n)=(n!)^(n-2)
A134368	a(n)=((2n)!)^(n+1)
A134369	a(n)=((2n+1)!)^(n+1)
A134370	a(n)=((2n+1)!)^(n+2)
A134371	a(n)=((2n)!)^n
A134373	a(n)=((2n)!)^3
A134375	a(n)=(n!)^4
A134799	a(n)=3^((3^n-1)/2)
A134960	a(n)=n*453060
A135292	a(n)=5^n*4^(n^2)
A135314	a(n)=7^n*6^(n^2)
A135315	a(n)=8^n*7^(n^2)
A135320	a(n)=9^n*8^(n^2)
A135321	a(n)=10^n*9^(n^2)
A135361	a(n)=a(n-1)^3+1
A135397	a(n)=2^n*3^(n^2)
A135398	a(n)=3^n*4^(n^2)
A135420	a(n)=4^n*5^(n^2)
A135421	a(n)=5^n*6^(n^2)
A135425	a(n)=6^n*7^(n^2)
A135426	a(n)=7^n*8^(n^2)
A135427	a(n)=8^n*9^(n^2)
A135428	a(n)=9^n*10^(n^2)
A135487	a(n)=(n^2+5*n+5)*(2*n+2)!/(n+4)!
A135503	a(n)=n*(n^2-1)/2
A135609	a(n)=(n!)^2-n^n
A136006	a(n)=n^6-n^3
A136516	a(n)=(2^n+1)^n
A136524	a(n)=2^n*(2^n+n)^(n-1)
A136525	a(n)=(2^n+1)*(2^n+n+1)^(n-1)
A137340	a(n)=2a(n-1)+3a(n-2)
A137344	a(n)=4a(n-2)
A137419	a(n)=(a(n-4)+1-((-1)^a(a(n-1))+1)*(a(a(n-1))-a(a(n-2)))/2)
A137529	a(n)=8a(n-4)
A137810	a(n)=2^(2^n+n)-1
A138748	a(n)=(n+(n+1))+(n*(n+1))+(n^(n+1))
A138782	a(n)=n*(3*n-1)*n!/2
A138784	a(n)=n*(n-1)*(n-2)(27*n^3-174*n^2+511*n-552)*n!/48
A139149	a(n)=(n!+2)/2
A139173	a(n)=n!/3-1
A139174	a(n)=(n!-4)/4
