A001980	0,-1,-3,-5,-10,-17,-26,-33,-45,-55,-61,-63,-68,-67,-68,-63,-61,-55,-45,-33,-26,-17,-10,-5,-3,-1	-1,1,1,-1,2,-1,-2,0,-1,0,1,2,2,-1,-2,1,-4,0,4,-1,2,1,-2,-2,-1,0,1,0,2,1,-2,1,-1,-1,1
A001982	0,1,3,5,8,13,17,19,19,19,17,13,8,5,3,1	1,-1,-3,1,5,2,-5,-4,3,3,-3,-2,3,3,-2,-3,3,3,-4,-5,2,5,1,-3,-1,1
A001993	1	1,-1,-2,0,2,4,-1,-3,-3,-1,4,2,0,-2,-1,1
A001998	1,-2,-4,6	1,-4,0,12,-9
A002001	1,-1	1,-4
A002023	6	1,-4
A002061	1,-2,3	1,-3,3,-1
A002063	9	1,-4
A002064	-1,2,-2	-1,5,-8,4
A002066	10	1,-4
A002081	2,0,4,4	1,-2,2,-2,1
A002082	-2,4,-6,2,-2,-4,-4,-4,-2,2,-4	-1,3,-4,4,-4,4,-4,4,-4,4,-3,1
A002089	11	1,-4
A002248	0,2,0,-4	1,-4,7,-8,4
A002249	2,-1	1,-1,2
A002250	-1,5	1,-7,12
A002264	0,0,0,1	1,-1,0,-1,1
A002265	0,0,0,0,1	1,-1,0,0,-1,1
A002266	0,0,0,0,0,1	1,-1,0,0,0,-1,1
A002275	0,1	1,-11,10
A002276	0,2	1,-11,10
A002277	0,3	1,-11,10
A002278	0,4	1,-11,10
A002279	0,5	1,-11,10
A002280	0,6	1,-11,10
A002281	0,7	1,-11,10
A002309	0,1,76,230,76,1	1,-6,15,-20,15,-6,1
A002310	1,-3	1,-5,1
A002315	1,1	1,-6,1
A002316	1,-1,7,2	1,-6,11,6,1
A002317	2,-7,-1,-1	1,-6,11,6,1
A002320	1,-2	1,-5,1
A002378	0,2	1,-3,3,-1
A002409	1	1,-14,84,-280,560,-672,448,-128
A002411	0,1,2	1,-4,6,-4,1
A002412	0,1,3	1,-4,6,-4,1
A002413	0,1,4	1,-4,6,-4,1
A002414	0,1,5	1,-4,6,-4,1
A002415	0,0,1,1	1,-5,10,-10,5,-1
A002417	0,1,3	1,-5,10,-10,5,-1
A002418	0,1,4	1,-5,10,-10,5,-1
A002419	0,1,5	1,-5,10,-10,5,-1
A002450	0,1	1,-5,4
A002452	0,1	1,-10,9
A002453	1	1,-35,259,-225
A002477	0,1,10	1,-111,1110,-1000
A002478	1	1,-1,-2,-1
A002492	0,4,4	1,-4,6,-4,1
A002501	0,-1,-5	-1,14,-61,84
A002502	0,-1,-27,136,480	-1,38,-539,3622,-11640,14400
A002524	1,-1	1,-2,0,-2,0,1
A002526	1,-1,-2,0,-2,0,0,1,1	1,-2,-2,0,-10,-8,2,16,10,2,-4,-2,0,-2,-1
